name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
Parc Summerlea (53e avenue / St-Joseph),45.43836713933041,-73.71546685695648,True,6,1,1,15
Parc Kirkland (des Érables / Boyer),45.44606092178209,-73.65079946815968,True,4,1,1,15
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,True,13,1,1,21
Quai de la navette fluviale,45.51366626207095,-73.53842496871948,True,17,1,1,19
St-Antoine / de la Montagne,45.49537171535007,-73.56858909130096,True,12,1,1,19
Lapierre / Serge,45.43854405099729,-73.62021625041962,True,4,1,1,15
Parc St-Louis (St-Joseph / 34e avenue),45.432839840726125,-73.69349151849747,True,17,1,1,27
Victoria / 18e avenue Lachine,45.43579350588776,-73.6801904439926,True,9,1,1,15
Métro Jolicoeur (de Sève / Drake),45.45608545783109,-73.58193710446358,True,4,1,1,19
Duchesneau / de Marseille,45.60962627826218,-73.52273898082785,True,4,1,1,19
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,True,24,1,1,35
LaSalle / Godin,45.44693448484644,-73.57219934463501,True,9,1,1,27
Parc Delorme (Malouin / Laferté),45.5904902,-73.5902694,True,13,1,1,19
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),45.57940569041942,-73.60258877277374,True,7,1,1,15
Parc Beaulac (rue Élizabeth),45.5200557245067,-73.67795147001743,True,5,1,1,15
Parc St-Laurent (Dutrisac),45.52591381815231,-73.68911147117615,True,5,1,1,19
CHSLD St-Michel (8e avenue / Jarry),45.5616903,-73.610512,True,1,1,1,15
Georges-Vanier / Notre-Dame,45.485047979822774,-73.5719633102417,True,8,1,1,19
Travaux publics LaSalle (Cordner / Léger),45.44527192876118,-73.62448364496231,True,7,1,1,15
Parc de Dieppe,45.501863463435576,-73.5439610481262,True,14,1,1,35
Terminus Newman (Airlie / Lafleur),45.425059666150744,-73.64959917962551,True,13,1,1,19
Newman / Senkus,45.44404309237571,-73.61375212669373,True,14,1,1,19
St-Urbain / René-Lévesque,45.507837541505836,-73.56313616037369,True,27,1,1,33
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942,True,18,1,1,21
Smith / Peel,45.49276061084002,-73.55641052126883,True,18,1,1,19
de la Commune / King,45.49750375338383,-73.55284452438353,True,2,1,1,71
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,True,16,1,1,81
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,True,11,1,1,43
Chabanel / du Parc,45.53830765459552,-73.6548838019371,True,1,1,1,30
Ottawa / William,45.48972725318433,-73.56406286358833,True,10,1,1,15
de la Commune / Berri,45.51086,-73.54983,True,15,1,1,51
Berlioz / de l'Île des Soeurs,45.45998577640931,-73.54395568370819,True,11,1,1,23
Parc Benny (Benny / de Monkland),45.46693565237702,-73.63153114914894,True,14,1,1,23
Cégep André-Laurendeau (Lapierre),45.43605512104547,-73.60577523708344,True,5,1,1,30
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.55675103297278,-73.66716161370277,True,3,1,1,16
Dixie / 54e avenue,45.44338026469991,-73.71789157390594,True,12,1,1,19
LaSalle / 90e avenue,45.41774583815495,-73.64518761634827,True,9,1,1,15
